"","Study_id_f","first author","study design","n_row","publication_date","clean_vaccine","vac_type","dose_number","dose","dose interval","timing_of_dose_days","population_detail","population_category","historyofCOVID","max duration follow-up","outcome_detail","outcome_category","outcome_final","variant_clean","VE","LCL","UCL","country_clean","Country.Code","continent","Region","GNI_per_c_WB","year_GNI","Economy","Income group","q_GNI_per_c_WB","min_period_days","max_period_days","include","justification","sensitivity"
"1",1,"Amit","Prospective cohort",1,2021-02-18,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,"15-28 including some up to day 7 post dose 2","HCW","HCW","excluded",NA,"infection","infection","infection","other combinations",75,72,84,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"2",1,"Amit","Prospective cohort",2,2021-02-18,"BioNTech/Pfizer BNT162b2","mRNA","1+","1+",NA,"15-28 including some up to day 7 post dose 2","HCW","HCW","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",85,71,92,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"3",2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method",3,2021-02-22,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,">28","> 80 years","> 80 years","included",NA,"symptomatic disease","symptomatic","symptomatic","alpha",57,48,63,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"4",2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method",4,2021-02-22,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7","> 80 years","> 80 years","included",NA,"symptomatic disease","symptomatic","symptomatic","alpha",88,84,90,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"5",3,"Dagan","Retrospective cohort",5,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",46,40,51,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"6",3,"Dagan","Retrospective cohort",6,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","general pop","general pop","excluded",NA,"infection","infection","infection","other combinations",92,88,95,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"7",3,"Dagan","Retrospective cohort",7,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","general pop","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",57,50,63,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"8",3,"Dagan","Retrospective cohort",8,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","general pop","general pop","excluded",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",94,87,98,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"9",3,"Dagan","Retrospective cohort",9,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14-21","general pop","general pop","excluded",NA,"hospitalization","severe","severe","other combinations",74,56,86,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"10",3,"Dagan","Retrospective cohort",10,2021-02-24,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,">7","general pop","general pop","excluded",NA,"hospitalization","severe","severe","other combinations",87,55,100,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
