"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max_follow_up","max_follow_up_days","min_period_days","max_period_days","VE","LCL","UCL","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
43,"Stowe","Test-negative case-control","14-Jun-21","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospital patients","included","hospitalization","severe","delta","14+","~20 weeks",140,14,140,96,86,99,0.04,0.01,0.14,-3.2188758248682,0.673228910616137
49,"Nasreen","Test-negative case-control","07-Feb-22","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"general pop","unknown","hospitalization or death","severe","delta","14+","~28 weeks",196,14,196,98,96,99,0.02,0.01,0.04,-3.91202300542815,0.35364652069385
74,"Tang","Test-negative case-control","02-Nov-21","Qatar","QAT","Asia",65700,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"general pop","included","severe, critical, fatal disease","severe","delta","14+","~25 weeks",175,14,175,94.1,85.9,97.6,0.0590000000000001,0.024,0.141,-2.83021783507642,0.451710729599546
80,"Tartof","Retrospective cohort","16-Oct-21","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 12 years","included","hospitalization","severe","delta","7+","~29 weeks",203,7,203,93,84,96,0.07,0.04,0.16,-2.65926003693278,0.353646520693849
81,"Golberg","Retrospective cohort","27-Oct-21","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"40-59 years","excluded","severe disease","severe","delta","109-159","22 weeks",154,109,159,92,87,95,0.08,0.05,0.13,-2.52572864430826,0.243752919649856
81,"Golberg","Retrospective cohort","27-Oct-21","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 60 years","excluded","severe disease","severe","delta","109-159","22 weeks",154,109,159,85,81,88,0.15,0.12,0.19,-1.89711998488588,0.11722763504552
92,"Grannis","Test-negative case-control","10-Sep-21","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","hospitalization","severe","delta","14+","4 weeks",28,14,28,80,73,85,0.2,0.15,0.27,-1.6094379124341,0.149945577781153
95,"Andrews","Test-negative case-control","12-Jan-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 16 years","excluded","hospitalization","severe","delta","14+","~33.5 weeks",234.5,14,234.5,96.6,96.2,96.9,0.034,0.0309999999999999,0.0379999999999999,-3.38139475436597,0.0519385089901123
114,"Skowronski","Test-negative case-control","19-Apr-22","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","14+","~38 weeks",266,14,266,98,97,98,0.02,0.02,0.03,-3.91202300542815,0.103434976558205
151,"Collie","Test-negative case-control","29-Dec-21","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","included","Hospitalization","severe","delta","14+","~19 weeks",133,14,133,93,90,94,0.07,0.0600000000000001,0.1,-2.65926003693278,0.130312659123977
165,"Tartof","Test-negative case-control","22-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospital admissions","excluded","hospitalization","severe","delta","7+","~47 weeks",329,7,329,76,69,82,0.24,0.18,0.31,-1.42711635564015,0.138677409844128
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"15-59 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,98.1,97.5,98.6,0.019,0.014,0.025,-3.9633162998157,0.147912881442077
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"60-79 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,96.7,95.9,97.4,0.0329999999999999,0.0259999999999999,0.0409999999999999,-3.41124771751566,0.116192736908884
174,"Lytras","Retrospective cohort","14-Jun-22","Greece","GRC","Europe",19690,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 80 years","included","intubation","severe","delta","14+","~48 weeks",336,14,336,94.2,92,95.7,0.0579999999999999,0.0429999999999999,0.08,-2.84731226843572,0.158374111984776
178,"Lauring","Test-negative case-control","09-Mar-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","14+","~27 weeks",189,14,189,82,80,84,0.18,0.16,0.2,-1.71479842809193,0.0569243753352575
194,"Smid","Retrospective cohort","15-Oct-22","Czech Republic","CZE","Europe",22100,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"all ages","included","hospitalization","severe","delta","14-74","~54 weeks",378,14,74,80,72,85,0.2,0.15,0.28,-1.6094379124341,0.159223038028825
203,"Baum","Retrospective cohort","05-Nov-22","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 70 years","excluded","hospitalization","severe","delta","14-90","~48.5 weeks",339.5,14,90,90,78,96,0.1,0.04,0.22,-2.30258509299405,0.434884717407761
218,"Starrfelt","Retrospective cohort","30-Mar-22","Norway","NOR","Europe",82430,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">= 18 years","excluded","hospitalization","severe","delta","2-9 weeks","~7 weeks",49,14,63,97.5,95.6,98.6,0.025,0.014,0.044,-3.68887945411394,0.292125587832399
230,"Plumb","Test-negative case-control","12-Apr-22","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"hospitalized adults","included","hospitalization","severe","delta","14+","~55 weeks",385,14,385,50,39,59,0.5,0.41,0.61,-0.693147180559945,0.101352499354338
235,"Voko","Retrospective cohort","22-Jul-22","Hungary","HUN","Europe",16570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA",2,"18-64 years","included","hospitalization","severe","delta","14-120","~47 weeks",329,14,120,82.6,80.1,84.7,0.174,0.153,0.199,-1.74869997976761,0.0670578835030758
310,"Penayo","Test-negative case-control","01-Jun-22","Paraguay","PRY","South America",5950,2019,2,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","included","hospitalization with SARI","severe","delta","14+","~38 weeks",266,14,266,91.9,72.2,97.6,0.081,0.024,0.278,-2.5133061243097,0.624889613097625
311,"Monge","Case cohort","02-Sep-22","Spain","ESP","Europe",30370,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,"50-59 years","included","hospitalization","severe","delta","14+","~21 weeks",147,14,147,97,97,98,0.03,0.02,0.03,-3.50655789731998,0.103434976558205
315,"Chatzilena","Test-negative case-control","07-Dec-22","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA",2,">=18 years","excluded","hospitalization","severe","delta","7+","~56 weeks",392,7,392,82.5,76.2,87.2,0.175,0.128,0.238,-1.74296930505862,0.158224594324453
