"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max duration follow-up","VE","LCL","UCL"
1,"Amit","Prospective cohort","18Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","HCW","excluded","infection ","infection","other combinations","15-28 including some up to day 7 post dose 2",NA,75,"72",84
1,"Amit","Prospective cohort","18Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","HCW","excluded","symptomatic disease","symptomatic","other combinations","15-28 including some up to day 7 post dose 2",NA,85,"71",92
2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method","22Feb2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","> 80 years","included","symptomatic disease","symptomatic","alpha",">28",NA,57,"48",63
2,"Immunisation and Countermeasures Division, National Infection Service, PHE","Screening method","22Feb2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","> 80 years","included","symptomatic disease","symptomatic","alpha","7",NA,88,"84",90
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","excluded","infection ","infection","other combinations","14-21",NA,46,"40",51
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","infection ","infection","other combinations",">7",NA,92,"88",95
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","excluded","symptomatic disease","symptomatic","other combinations","14-21",NA,57,"50",63
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","symptomatic disease","symptomatic","other combinations",">7",NA,94,"87",98
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","excluded","hospitalization","severe","other combinations","14-21",NA,74,"56",86
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","hospitalization","severe","other combinations",">7",NA,87,"55",100
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","general pop","excluded","severe disease","severe","other combinations","14-21",NA,62,"39",80
3,"Dagan","Retrospective cohort","24Feb2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","general pop","excluded","severe disease","severe","other combinations",">7",NA,92,"75",100
4,"Hyams","Test-negative case-control","01Nov2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1"," > 80 years","included","hospitalization","severe","alpha",">14",NA,79,"47",93
4,"Hyams","Test-negative case-control","01Nov2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1"," > 80 years","included","hospitalization","severe","alpha",">14",NA,80,"36",95
5,"Mousten-Helms","Retrospective cohort","09Mar2021","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","LTCF residents","excluded","infection ","infection","other combinations",">14",NA,21,"-11",44
5,"Mousten-Helms","Retrospective cohort","09Mar2021","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","excluded","infection ","infection","other combinations",">7",NA,64,"14",84
5,"Mousten-Helms","Retrospective cohort","09Mar2021","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","LTCF staff","excluded","infection ","infection","other combinations",">14",NA,17,"4",28
5,"Mousten-Helms","Retrospective cohort","09Mar2021","Denmark","DNK","Europe",63020,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF staff","excluded","infection ","infection","other combinations",">7",NA,90,"82",95
6,"Tande","Retrospective cohort","11Mar2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","1+","pre-surgical hospital patients","included","asymptomatic infection","asymptomatic","original",">10 including some with dose 2",NA,79,"63",88
6,"Tande","Retrospective cohort","11Mar2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","pre-surgical hospital patients","included","asymptomatic infection","asymptomatic","original",">0",NA,80,"56",91
6,"Tande","Retrospective cohort","11Mar2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","pre-surgical hospital patients","included","asymptomatic infection","asymptomatic","original",">10",NA,79,"62",89
6,"Tande","Retrospective cohort","11Mar2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","pre-surgical hospital patients","included","asymptomatic infection","asymptomatic","original",">0",NA,80,"56",91
7,"Britton","Retrospective cohort","15Mar2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","LTCF residents","stratified","infection ","infection","original",">14 including some up to day 7 post dose 2",NA,63,"33",79
7,"Britton","Retrospective cohort","15Mar2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","LTCF residents","stratified","infection ","infection","original",">14 including some up to day 7 post dose 2",NA,60,"30",77
8,"Yelin","Retrospective cohort","17Mar2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","general pop","excluded","infection ","infection","alpha",">35, most with dose 2",NA,91,"89",93
8,"Yelin","Retrospective cohort","17Mar2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1+","general pop","excluded","symptomatic disease","symptomatic","alpha",">35, most with dose 2",NA,99,"95",99
9,"Public Health England","Test-negative case-control","17Mar2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","> 70 years","unknown","symptomatic disease","symptomatic","alpha",">28",NA,58,"49",65
9,"Public Health England","Test-negative case-control","17Mar2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","> 70 years","unknown","symptomatic disease","symptomatic","alpha",">35",NA,58,"38",72
9,"Public Health England","Retrospective cohort","17Mar2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","> 70 years","included","hospitalization","severe","alpha",">14",NA,42,"32",51
9,"Public Health England","Retrospective cohort","17Mar2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","> 70 years","included","death","death","alpha",">14",NA,54,"41",64
