name_short,iso,region_who,region_unicef,status_who,status_covax,status_csc,income_group,pop,pop_gen_fem,pop_gen_mal,pop_u18,pop_18p,pop_60p,pop_70per,pop_hcw,pop_old,pol_jj,pol_age_old,pol_age_old_source,del_date,del_dose_tot,del_dose_since_lm,del_cour_tot,del_cour_tot_per,del_cour_covax_prop,del_dose_jj_prop,pu_del_rem,pu_del_rem_per,pu_used_per,adm_tot_date,adm_tot_td,adm_tot_a1d,adm_tot_cps,adm_tot_cps_adj,adm_tot_pv,adm_tot_boost,adm_gen_date,adm_gen_fem_cps,adm_gen_mal_cps,adm_old_date,adm_old_target,adm_old_a1d,adm_old_cps,adm_old_cps_adj,adm_old_boost,adm_hcw_date,adm_hcw_target,adm_hcw_a1d,adm_hcw_cps,adm_hcw_cps_adj,adm_hcw_boost,dvr_4wk_td,dvr_4wk_td_per,dvr_4wk_td_max,dvr_4wk_td_max_per,dvr_4wk_cps,dvr_4wk_cps_per,dvr_4wk_td_lm,dvr_4wk_td_change_lm_trend,dvr_4wk_td_change_lm_per,cov_tot_a1d,cov_tot_cps,cov_tot_boost,cov_tot_cps_since_lm,cov_gen_fem_cps,cov_gen_mal_cps,cov_gen_diff,cov_hcw_a1d,cov_hcw_cps,cov_old_a1d,cov_old_cps,t10_status,t20_status,t40_status,t40_cour_req,t40_cour_need_del,t40_cour_need_adm,t70_status,t70_cour_req,t70_cour_need_del,t70_cour_need_adm,ct_target,ct_deadline,ct_status,fin_tot,fin_percapita,date_refresh,ri_dtp1,ri_dtp3,ri_mcv1,ri_mcv2,ri_zero_dose
Afghanistan,AFG,EMR,ROSA,Member State,AMC,Concerted support country,LIC,38928346,19400447,20434981,19327864,20507564,1704982,27249842.2,997519,3610145,One dose,50 and older,Region,2023-11-20,24804586,0,12402293,0.3185928577597414,0.8259138048101267,0.7901139732789735,0,0,1,2023-12-31,22964750,19151369,18370386,18370386,780983,2729940,2022-07-01,3747252,3645986,2023-06-01,,311399,2033899,2033899,380489,2023-08-01,128000,97070,96909,507237.2390763276,2478,10223.39999999997,0.000262620970333545,159879.3273809524,0.00410701567903636,7272.142857142857,0.0001868084212245456,20586.20714285717,Downward,-0.5033859355900242,0.4919646213584312,0.4719025565586578,0.07012730517756907,0.006538294742859108,0.1931528691065726,0.178418859307968,0.01473400979860462,0.9373353536877888,0.5084988246603098,0.5633842961986292,0.5633842961986292,2) Goal met after deadline,2) Goal met after deadline,2) Goal met after deadline,17128472,4726179,0,Goal not yet met,29974826,17572533,11604440,0.4,2022-12-31,Goal met,78755280,2.023083128165784,31/12/2023,0.74,0.66,0.63,0.44,331181
Albania,ALB,EUR,CEE-CIS,Member State,Self-financing,,UMIC,2877800,1410923,1462011,599335,2273598,628565,2014460,36791,628565,,,,2023-11-20,3419848,0,1709924,0.5941774966988672,0.1038642653123765,0,0,0,1,2023-12-23,3088966,1349255,1279333,1279333,69922,402371,,,,2024-02-01,0,951170,902050,628565,442474,2024-02-01,28000,25888,23242,27150.06046389603,5485,0,0,13861.58403361344,0.004816729457784921,0,0,0,Stable,,0.4688494683438738,0.4445524358885259,0.1398189589269581,0,,,,0.8499827713328538,0.7379538600172877,1,1,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,1266232,0,0,Goal not yet met,2215906,505982,936573,,,Not captured,1545687,0.5371071651956355,31/12/2023,0.98,0.98,0.87,0.92,295
Algeria,DZA,AFR,MENA,Member State,AMC,,LMIC,43851044,22075165,22541461,15700114,28916510,4519772,30695730.8,387079,8430581,One dose,50 and older,Regional assumption,2023-11-20,32159600,0,16079800,0.3666913836760648,0.5021704250052861,0.2023905769972263,13676198,0.3118785039644666,0.5747397977586786,2023-12-31,15267442,7840131,6481186,6481186,1358945,575651,,,,,,,,,,,,,,,,0,0,210024.5906593406,0.004789500351675564,0,0,0,Stable,,0.1787900648385931,0.1478000386946318,0.013127418357474,0,,,,,,,,2) Goal met after deadline,3) Goal not yet met,3) Goal not yet met,19294459,3214659,12813273,Goal not yet met,33765304,17685504,27284118,0.7,2021-12-31,Deadline past,7006400,0.1597772677886529,31/12/2023,0.96,0.91,0.8,0.77,39113
American Samoa,ASM,WPR,,Territory or Area,,,UMIC,55197,,,,,,38637.89999999999,,,,50 and older,Region database,,,,,,,0,,,,2023-03-29,114706,46206,42479,42479,3727,24160,,,,2024-02-01,,11080,10431,,15556,2024-02-01,1100,1076,1076,,,121.0714285714286,0.002193442190181143,445.9761904761903,0.008079717928079249,0.3703007518797676,0.000006708711558232651,0,Upward,1,0.8371107125387249,0.7695889269344348,0.4377049477326666,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,24287,,0,Goal met by deadline,42502,,23,,,Not captured,,,31/12/2023,,,,,
Andorra,AND,EUR,Dev,Member State,Self-financing,,HIC,77265,39251,38103,11805,64940,18469,54085.5,3893,18469,,,,2023-11-20,172768,0,86384,1.118022390474342,0.1663502500463049,0,0,0,1,2023-12-23,157072,57913,53501,53501,4412,43071,,,,2024-02-01,35474,26220,25672,18469,24656,2024-02-01,,2393,1142,1142,2063,0,0,1157.5,0.01498090985569145,0,0,0,Stable,,0.7495373066718437,0.6924351258655277,0.5574451562803339,0,,,,0.6146930387875674,0.2933470331363986,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,33997,0,0,Goal not yet met,59494,0,5993,,,Not captured,,,31/12/2023,0.99,0.99,0.99,0.97,6
Angola,AGO,AFR,ESARO,Member State,AMC,,LMIC,32866272,17143471,16790140,17965077,15968533,1257464,23006390.4,251284,2768485,One dose,50 and older,Regional assumption,2023-11-20,32091132,0,16045566,0.4882076677269634,0.8193029775328586,0.1494509448903205,1062886.800000001,0.03233974330888519,0.96687911164991,2023-12-31,27819132,16550642,9609080,9609080,6941562,3067091,,,,,,,,,,,,,,,,2492.535714285714,0.00007583871131735642,113251.1428571429,0.003445816515397391,514.5714285714286,0.00001565651950338111,2579.607142857143,Stable,-0.0337537554167993,0.5035752761980428,0.2923690280418783,0.0933203193839569,0.0005439314808810547,,,,,,,,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,14461160,0,4852080,Goal not yet met,25307029,9261463,15697949,0.6,2022-07-30,Deadline past,82612824,2.513604950388045,31/12/2023,0.57,0.45,0.36,0.32,406517
Anguilla,AIA,AMR,LACRO,Territory or Area,,,Other,15002,,,,,,10501.4,,,,,,2023-11-20,27069,0,13534,0.9021463804826023,0,0,0,0,1,2023-12-29,24864,10858,10382,10382,476,3231,2023-12-01,5563,5161,2023-12-01,,2920,2829,,839,2023-12-01,350,359,352,,179,0,0,279.2857142857143,0.01861656541032624,0,0,0,Stable,,0.7237701639781362,0.6920410611918411,0.2153712838288228,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,6601,0,0,Goal not yet met,11552,0,1170,,,Not captured,,,31/12/2023,,,,,
Antigua & Barbuda,ATG,AMR,LACRO,Member State,Self-financing,,HIC,97929,51050,47678,25584,73147,14416,68550.3,4896,14416,,,,2023-11-20,254790,0,127395,1.300891462181785,0.2354880489815142,0.1507123513481691,92799,0.9476151089054314,0.6357824090427411,2023-12-29,136512,64290,62384,62384,1906,9838,,,,,,,,,,,,,,,,0,0,1289.473684210526,0.01316743440870964,0,0,0,Stable,,0.6564960328401188,0.6370329524451388,0.1004605377365234,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,43089,0,0,Goal not yet met,75405,0,13021,0.27,,Goal met,275704,2.815345811761582,31/12/2023,0.93,0.92,0.85,0.76,21
Argentina,ARG,AMR,LACRO,Member State,Self-financing,,UMIC,45195774,23351237,22254586,13206003,32399823,7153405,31637041.8,1159948,7153405,,,,2023-11-20,160490056,0,80245028,1.775498479127717,0.04402764991246561,0,27754433.40000001,0.6140935521980442,0.8270644668477154,2023-12-29,116686617,41188650,38090133,38090133,3098517,27718875,2023-12-01,19835112,18187449,2023-12-01,7429972,6963587,6828858,6828858,5679459,2023-12-01,,2546237,1442772,1159948,886321,2455.535714285714,0.00005433109109461681,370151.8214285714,0.00818996531464582,63.75,0.000001410530108412348,3381.714285714286,Downward,-0.2738784217641095,0.9113385247036593,0.8427808538028356,0.613306788373621,0.0000518063607324315,0.8494244651792965,0.8172449939082219,0.03217947127107457,1,1,0.9734646647295938,0.9546304172628279,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,19886141,0,0,Goal met by deadline,34800746,0,0,,,Not captured,23029014,0.5095390998282273,31/12/2023,0.82,0.76,0.81,0.79,85247
Armenia,ARM,EUR,CEE-CIS,Member State,Self-financing,,UMIC,2963234,1572135,1395993,724277,2243850,564771,2074263.8,51461,564771,,,,2023-11-20,2979419,0,1489710,0.5027311376691818,0.1296896711440482,0,424558.1000000001,0.1432752526462642,0.8575030568040278,2023-12-23,2256919,1150915,1030758,1030758,120157,81354,,,,2024-02-01,0,480994,387550,387550,23632,2024-02-01,31140,23961,22039,29107.63964101384,1993,0,0,15883.42857142857,0.005360166821597137,0,0,0,Stable,,0.3883982837669924,0.3478490055122208,0.02745446360294192,0,,,,0.7189965442848543,0.5656252237813847,0.8516620010588363,0.6862073300505869,2) Goal met after deadline,1) Goal met by deadline,3) Goal not yet met,1303823,0,273065,Goal not yet met,2281690,791980,1250932,,,Not captured,1855988,0.6263386556714724,31/12/2023,0.96,0.93,0.94,0.94,1448
