name_short,iso,region_who,status_who,status_covax,status_csc,income_group,pop,pop_hcw,pop_old,date,adm_tot_td_add,adm_tot_td_month,adm_tot_a1d_add,adm_tot_a1d_month,adm_tot_cps_add,adm_tot_cps_month,adm_tot_boost_add,adm_tot_boost_month,cov_tot_a1d,cov_tot_cps,cov_tot_boost,adm_hcw_a1d_add,adm_hcw_cps_add,adm_hcw_boost_add,cov_hcw_a1d,cov_hcw_cps,cov_hcw_boost,adm_old_a1d_add,adm_old_cps_add,adm_old_boost_add,cov_old_a1d,cov_old_cps,cov_old_boost,del_dose_add,del_dose_month,est_stock,fin_tot,fin_percapita
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2021-02,12262.23529,12262,12262.23529,12262.23529,0,0,0,0,0.000314995,0,0,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2021-03,55294,43032,55294,43031.76471,0,0,0,0,0.001420405,0,0,76491.06875,32292,,0.076681315,0.032372316,,,,,,,,,,,,
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-04,6000181.5,144598,5299505.5,126414.5,4649565,132363,0,0,0.136134875,0.119439059,0,212440.86,184360.5308,0,0.212969237,0.184819067,0,,,,,,,12968850,0,6968668,64344378.99,1.652892702
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-05,6170059,169878,5455336,155830.5,4806339,156774,0,0,0.140137883,0.123466304,0,215994.552,188422.2972,0,0.216531767,0.188890936,0,,,,,,,15308850,2340000,9138791,64344378.99,1.652892702
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-11,12286782.25,185109,11303351.25,174728.25,10597783,172533,0,0,0.290362998,0.272238204,0,346850.1436,326422.2909,0,0.347712819,0.327234159,0,264775,1486519,,0.073341929,0.411761577,,20032050,0,7745268,78755279.67,2.02308312
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-10,12101673,199284,11128623,179162.6667,10425250,166652.3333,0,0,0.28587454,0.267806138,0,342947.344,322568.5253,0,0.343800313,0.323370808,0,263739,1473459,,0.07305496,0.408143994,,20032050,748800,7930377,82805279.67,2.127120419
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-12,12494754.5,207972,11502478.75,199127.5,10796858.5,199075.5,0,0,0.295478229,0.2773521,0,346850.1436,326422.2909,0,0.347712819,0.327234159,0,264775,1486519,,0.073341929,0.411761577,,20032050,0,7537296,78755279.67,2.02308312
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2023-01,12709857,215102,11708261,205782.25,10988243,191384.5,0,0,0.30076441,0.282268427,0,356037.3686,336040.7606,0,0.356922894,0.336876551,0,269292,1534494,,0.074593126,0.425050517,,20201028,168978,7491171,78755279.67,2.02308312
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2021-05,608864.6667,259779,480714,166129,128150.6667,93650.46667,0,0,0.012348688,0.003291963,0,76491.06875,32292,,0.076681315,0.032372316,,,,,,,,,,,,
Afghanistan,AFG,EMR,Member State,AMC,Concerted support country,LIC,38928346,997519,3610145,2022-06,6445359,275300,5713284,257948,5064430,258091,0,0,0.146764109,0.130096203,0,221870.1809,195104.1203,0,0.22242201,0.195589377,0,,,,,,,15308850,0,8863491,65688746.77,1.68742712
