"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20520","22210","23230","24580","26320","26850","26800","28250","28640","27880","30320","31210","29780","31810","34480","28900","35760","33470","38420","33950","32270","32440","33240","34710","35490","35770","35880","36720","38880","40570","34060","41430","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1695.08185370854","1725.6171561714","1640.45575652953","1674.57689963547","1694.58999891202","1797.03582663815","1881.44418691427","1956.96332688205","1959.35440432211","1980.92084501345","2049.90072980973","2116.80638337818","2185.81252582943","2250.11855179316","2378.1147101461","2536.61062893413","2712.16934217272","2877.54850713398","2966.5764783527","2950.29415616349","3035.47357162973","3144.85137494226","3087.67973326251","3202.23971004763","3346.5194009251","3382.14260120631","3496.1038577219","3523.51987240315","3603.60387267369","3659.47750382154","3519.02070723198","3718.66330940471","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570","1770","1750","1960","2070","2110","2150","2040","2120","2130","2200","2100","1680","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1654.05280782871","1692.72106401757","1717.65174237195","1668.57086612207","1680.14646619925","1717.01244658404","1734.65858685971","1796.13578683502","1824.48331660644","1861.09624402691","1833.93779588889","1952.19194547563","2111.60227758144","2199.49787766114","2362.56262272396","2522.45620772036","2790.64637287978","2896.46412254432","3046.68496624909","3156.46148087878","3309.89416814672","3444.98999714436","3565.85517272157","3704.37845302159","3989.05856725568","3959.59196738984","3890.96497775827","3904.61915557533","3984.22979904428","4114.10208037577","4024.87869525072","4240.43830618816","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980","3300","1620","1490","1260","2340","2410","2810","2810","2620","2780","2890","3360","3450","3760","4290","4710","5330","5570","5820","5950","6120","6790","7090","7630","6900","6660","6770","6500","6260","5830","5980","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4440","4780","5130","5560","5980","6760","7490","8270","8670","9530","10210","10450","10750","11360","11800","12270","12800","13480","14220","13800","15600","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780.72967631742","7378.55533525398","7730.47806882347","7961.31330734641","8053.97468451735","8250.83503935513","8502.84497286484","8802.76351807257","9300.33319078998","9347.3964138943","9919.10284683433","10126.9220350387","9973.41259984163","10360.5662326395","11395.9767176102","12036.961077493","12934.4108123534","13607.1933497508","14232.0885924173","13943.6447546814","14297.3897608897","14769.8409804178","15741.1745051889","15695.3691554377","15531.1632857631","14073.6733033946","13641.2687390447","14072.3372056931","14387.8440255067","14528.2823909671","13865.1786505621","","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98600","96960","92170","96590","104320","106410","105840","94580","81940","68200","65390","70650","74910","75970","78980","70030","69240","71690","73500","75180","71280","","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6870","7740","8540","9390","9990","9750","10320","11200","11590","11200","11240","10840","9480","10530","10810","11980","14410","16080","16910","15750","17450","18770","19180","19700","19280","19730","19860","22990","22460","22100","20220","23170","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2660","2470","1250","1440","1580","1810","1960","2140","2290","2420","2650","3000","3500","4090","4710","5560","6570","7780","8580","7340","7690","8160","9640","10430","10570","10540","11220","12950","13770","15120","13870","15140","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10340","11240","11530","12420","13250","12670","13550","14370","14990","15470","16120","15870","15740","16940","18120","19830","22770","25220","25200","22060","20660","20290","19540","18800","18790","18440","19390","19660","21520","22500","18930","20770","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16780","17120","17550","18710","19730","20310","21350","22350","23610","24670","25760","26850","28230","29260","30840","31790","33470","35000","35990","38890","37840","40330","41540","44770","45660","45310","46140","47090","48620","50180","51870","55330","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19560","20600","21350","21790","22680","23610","24550","25310","26510","27170","29130","29300","31000","32070","33730","34940","37750","39400","41660","40900","42360","44600","46500","48050","48860","49370","52680","53670","56400","59540","56940","59490","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4850","5970","8140","10020","11640","12940","13800","13790","15050","16330","16940","14460","13510","13590","13850","14470","14390","15520","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","640","650","640","630","550","520","520","540","530","540","530","550","530","550","560","590","610","620","610","630","640","650","700","730","800","770","750","760","760","750","780","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","19740","20410","20810","22050","22940","23270","24310","24960","26030","28510","29330","30810","31530","32510","33590","35760","37310","38800","38450","40450","41010","43270","44750","45870","46850","49060","50900","52990","56280","54800","59920","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1260","1270","1330","1330","1420","1470","1540","1580","1640","1720","1800","1850","1890","1970","2010","2080","2200","2290","2290","2290","2350","2410","2580","2730","2770","2880","2900","3080","3260","3330","3750","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","650","680","760","800","840","890","900","950","970","1030","1070","1160","1250","1290","1350","1350","1410","1470","1530","1590","1570","1580","1750","1900","2030","2080","2050","2270","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1110","1170","1220","1280","1340","1400","1470","1530","1620","1700","1780","1860","1990","2150","2360","2580","2790","2930","3100","3330","3740","3990","4220","4450","4770","5000","5460","5930","6140","6840","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6490","6810","6910","7190","7570","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11120","11880","13650","13730","14650","15250","16110","16280","17470","17820","19450","20990","22270","24460","24420","27380","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27080","29780","30330","32390","31710","33700","34820","34230","35600","36040","38390","38750","38910","40990","42080","43620","44700","46730","46350","41820","43510","43420","52020","51700","49530","43330","42760","46190","47360","48830","46900","","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19710","19110","18730","18660","19260","22160","24220","22490","21210","24070","25240","25940","26790","26710","27340","28680","29800","30600","30470","28740","28890","29300","29890","29380","30520","31170","31140","33350","33430","34970","26850","31010","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","1040","2010","2690","3830","4090","4520","4650","4950","5150","5910","6210","7090","7920","8910","9030","9240","9840","10190","10930","11240","11770","12730","13290","14500","15870","15560","17240","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3850","4050","4590","5060","5340","5780","6220","6690","7380","8490","9660","10970","12220","13720","13740","15050","16380","17700","18330","18440","17330","16950","17670","18730","19510","19420","20860","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460","5030","5620","5970","5920","5970","5930","6070","6110","6480","7200","7410","7690","8190","8400","8650","9050","9170","8930","9110","8860","9080","8540","8770","8650","8910","8710","8390","8400","8770","7900","9330","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86070","86290","82650","91950","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2180","2330","2400","2510","2650","2780","2900","3050","3200","3190","3270","3350","3420","3480","3640","3870","4120","4340","4640","4710","4850","5140","5460","6100","6560","6750","7210","8000","8460","8710","8010","8620","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6440","6640","6670","7010","7350","7900","8100","8360","8330","8280","8740","8900","9190","9390","10100","10640","11320","12260","12960","12930","13810","14600","14620","15320","15370","14420","13910","14210","14550","14890","14480","15600","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9430","9380","9060","9280","9620","9950","10480","11210","11740","11860","12620","12500","12710","13150","13750","14510","15560","16610","16770","16110","16160","15670","15140","15090","14920","15230","15620","15470","15580","15790","14350","14810","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55170","57100","59510","59540","61180","63690","65180","63860","62830","64280","66210","68170","70520","72630","73620","74920","79310","80710","79340","77370","78210","80090","84510","81390","79960","64670","59540","63750","61450","65730","66940","66480","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1360","1470","1630","1800","1840","1970","2140","2090","2160","2710","2920","3160","3370","3570","3910","4300","5100","5310","5570","6130","6640","7080","7240","7860","8640","9390","10030","10470","11180","10440","11250","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5650","6380","6610","6990","6330","7080","7090","7830","8230","8300","8360","8730","8210","8950","9150","9950","11270","12290","12470","11020","11660","12890","12300","12810","14070","13020","13970","13400","13790","14930","14050","15420","",
