study ID,first author,publication_date,earliest_date,obs
1,Amit,18/02/2021,,
2,Immunisation and Countermeasures Division National Infection Service PHE,22/02/2021,,
3,Dagan,24/02/2021,,
4,Hyams,01/11/2021,,
5,Mousten-Helms,09/03/2021,,
6,Tande,11/03/2021,,
7,Britton,15/03/2021,,
8,Yelin,17/03/2021,,
9,Public Health England,17/03/2021,,
10,Shrotri,23/06/2021,,
11,Thompson,29/03/2021,,
12,Bouton,30/03/2021,,
13,Regev-Yochay,07/07/2021,09/04/2021,[Update to April 9 preprint]
14,Andrejko,20/07/2021,25/05/2021,[update to May 25 preprint]
15,Glampson,17/09/2021,,
16,Bjork,29/09/2021,21/04/2021,[Update to Apr 21 preprint]
17,Mason,18/10/2021,22/04/2021,[Update to Apr 22 preprint]
18,Hall,23/04/2021,21/02/2021,[Update to Feb 21 preprint]
19,Vasileiou,23/04/2021,,
20,Pritchard,09/06/2021,23/04/2021,[Update to Apr 23 preprint]
21,Goldberg,30/03/2022,24/04/2021,[Update to Apr 24 2021 preprint]
22,Tenforde,28/04/2021,,
23,Gras-Valenti,29/04/2021,,
24,Fabiani,29/04/2021,,
25,Corchado-Garcia ,02/11/2021,30/04/2021,[Update to April 30 preprint]
26,Haas,05/05/2021,24/03/2021,[Update to Mar 24 preprint]
27,Abu-Raddad,08/07/2021,,
28,Angel,06/05/2021,,
29,Lopez-Bernal,13/05/2021,01/03/2021,[Update to Mar 1 preprint]
30,Pilishvili ,14/05/2021,,
31,Ismail,12/05/2021,,
32,Ranzani,20/08/2021,21/07/2021,[update to Jul 21 preprint]
33,PHE,20/05/2021,,
34,Chung,20/08/2021,26/07/2021,[Update to July 26 preprint]
35,Martinez-Bas,27/05/2021,,
36,Khan,31/05/2021,,
37,Salo,04/03/2022,,
38,Thompson,30/06/2021,30/06/2021,[updated on June 30 2021]
39,Emborg,30/06/2021,02/06/2021,[Update of Houston-Melms below]
40,Skowornski,09/07/2021,,
41,Flacco,10/06/2021,,
42,Sheikh,14/06/2021,,
43,Stowe,14/06/2021,,
44,Azamgarhi,17/06/2021,,
45,Young-Xu,06/10/2021,14/07/2021,[Update to Jul 14 preprint]
46,Pawlowski,17/06/2021,18/02/2021,[Update to Feb. 18  2021 preprint]
47,Saciuk,30/12/2021,27/06/2021,[Update to June 27 2021 preprint]
48,Baum,18/11/2021,28/06/2021,[Update to June 28 preprint]
49,Nasreen,07/02/2022,30/09/2021,[Published version of September 30 preprint]
50,Jara,07/07/2021,,
51,Tenforde,06/08/2021,08/07/2021,[Update to July 8 preprint]
52,Chemaitelly,09/07/2021,,
53,Goldshtein,12/07/2021,,
54,Bertollini,13/07/2021,,
55,John,13/07/2021,,
56,Whitaker,02/01/2022,09/07/2021,[Update to July 9 2021 preprint]
57,Prunas,27/01/2022,16/07/2021,[Update to July 16  2021 preprint]
58,Butt,07/10/2021,22/06/2021,[Update to June 22 preprint]
59,Balicer,07/09/2021,12/07/2021,[Update to July 12 preprint]
60,Layan,03/03/2022,16/07/2021,July 16 2021 preprint]
61,Butt,20/07/2021,,
62,Lopez Bernal,21/07/2021,,
63,Kim,08/09/2021,22/07/2021,[Update to July 22 preprint]
64,Hitchings,28/10/2021,22/07/2021,[Update to July 22 preprint]
65,Carazo,30/08/2021,22/07/2021,[Update to July 22 preprint]
67,Amirthalingam,10/12/2021,28/07/2021,[Published version of July 28 pre-print]
68,Gram,17/12/2021,28/07/2021,[Published version of July 28 pre-print]
69,Alali,29/07/2021,,
70,Lefèvre,31/07/2021,,
71,de Gier,05/08/2021,,
72,Puranik,09/08/2021,,
73,Chemaitelly,09/08/2021,,
74,Tang,02/11/2021,11/08/2021,[Update to Aug 11 preprint]
75,Nanduri,18/08/2021,,
76,Chin,27/01/2022,18/08/2021,[Published version of August 18  2021 preprint]
77,Tenforde,04/11/2021,18/08/2021,[Update to Aug 18 MMWR)
78,Pouwels,14/10/2021,18/08/2021,[Update to Aug 18 preprint]
79,Prasad,19/08/2021,,
80,Tartof,16/10/2021,23/08/2021,[Update to Aug 23 preprint]
81,Golberg,27/10/2021,25/08/2021,[Update to Aug 25 preprint]
82,Chemaitelly ,06/10/2021,27/08/2021,[Update to Aug 27 preprint]
83,Nunes,23/09/2021,,
84,Katz,10/12/2021,02/09/2021,[Published version of September 2 pre-print]
85,Giansante,02/09/2021,,
86,Bruxvoort,24/11/2021,02/09/2021,[Update to September 2 2021 Preprint]
87,Barlow,03/09/2021,,
88,Tande,06/09/2021,,
89,Iliaki,18/10/2021,06/09/2021,[Update to September 6 preprint]
90,Thompson,08/09/2021,,
91,Dagan,07/09/2021,,
92,Grannis,10/09/2021,,
93,Polinski,17/03/2022,10/09/2021,[Published version of previous September 10 2021 preprint]
94,Bajema,10/09/2021,,
95,Andrews,12/01/2022,14/09/2021,[Update to September 14 2021 preprint]
96,Glatman-Freedman,16/09/2021,,
97,Self,17/09/2021,,
98,Skowronski,27/01/2022,,
99,Pilishvili,22/09/2021,,
100,Meyer,09/09/2021,23/09/2021,[Update to September 23 2021 preprint]
101,Glatman-Freedman,27/09/2021,,
102,Eyre,05/01/2022,29/09/2021,[Update to Sept 29  2021 preprint]
103,Martinez-Baz,30/09/2021,,
104,Bruxvoort,15/12/2021,01/10/2021,[Update to October 1 2021 preprint]
105,Liu,24/05/2022,07/10/2021,[Published version of October 7 2021 preprint]
106,Ranzani,18/10/2021,,
107,Arregoces,19/10/2021,,
108,Olson,19/10/2021,,
110,Chin,20/10/2021,,
111,Ranzani,09/02/2022,20/10/2021,[Update to (October 20 2021 preprint]
112,Nordstrom,04/02/2022,25/10/2021,[Published version of October 25 preprint]
113,Lin,10/03/2022,26/10/2021,[Update to October 26 2021 preprint]
114,Skowronski,19/04/2022,26/10/2021,[Update to Oct 26 2021 preprint]
115,Nordstrom,18/10/2021,,
116,Reis,20/10/2021,,
117,Sheikh,20/10/2021,,
118,Embi,30/12/2021,05/11/2021,[Updated version of Embi et al November 5 2021]
119,Poukka,31/01/2022,08/11/2021,[Published version of November 8 2021]
120,Al Hosani,18/03/2022,27/10/2021,[Published version of October 27 2021 preprint]
121,Ng,01/11/2021,,
122,Paixao,05/04/2022,12/11/2021,[Update to November 12 preprint]
123,Desai,23/11/2021,,
124,Thiruvengadam,25/11/2021,,
125,Hall,16/02/2022,01/12/2021,[Update to December 1 2021 preprint]
126,Voko,24/11/2021,,
127,Wu,02/12/2021,,
128,Muhsen,28/10/2021,,
129,Yassi,06/12/2021,,
130,UKHSA,27/01/2022,14/01/2022,[Update to Jan 14 2022 briefing] [March 2  2022 publication by Andrews et al with VE estimated till January 12 2022 can be accessed here]
131,Bajema,10/12/2021,10/09/2021,Updated analysis of reference #94
132,Powell,21/03/2022,18/02/2022,[Update to February 18  2022 preprint]
133,Berec,08/07/2022,12/12/2021,[Published version of December 12th preprint]
134,Machado,13/09/2021,14/12/2021,[Update to December 14 2021 preprint]
