,study ID,first author,publication date
1,1,Amit,18Feb2021
2,2,"Immunisation and Countermeasures Division, National Infection Service, PHE",22Feb2021
3,3,Dagan,24Feb2021
4,4,Hyams,01Nov2021
5,5,Mousten-Helms,09Mar2021
6,6,Tande,11Mar2021
7,7,Britton,15Mar2021
8,8,Yelin,17Mar2021
9,9,Public Health England,17Mar2021
10,10,Shrotri,23Jun2021
11,11,Thompson,29Mar2021
12,12,Bouton,30Mar2021
13,13,Regev-Yochay,07Jul2021
14,14,Andrejko,20Jul2021
15,15,Glampson,17Sept2021
16,16,Bjork,29Sept2021
17,17,Mason,18Oct2021
18,18,Hall,23Apr2021
19,19,Vasileiou,23Apr2021
20,20,Pritchard,09Jun2021
21,21,Goldberg,30Mar2022
22,22,Tenforde,28Apr2021
23,23,Gras-Valenti,29Apr2021
24,24,Fabiani,29Apr2021
25,25,Corchado-Garcia ,02Nov2021
26,26,Haas,05May2021
27,27,Abu-Raddad,08Jul2021
28,28,Angel,06May2021
29,29,Lopez-Bernal,13May2021
30,30,Pilishvili ,14May2021
31,31,Ismail,12May2021
32,32,Ranzani,20Aug2021
33,33,PHE,20May2021
34,34,Chung,20Aug2021
35,35,Martinez-Bas,27May2021
36,36,Khan,31May2021
37,37,Salo,04Mar2022
38,38,Thompson,30June2021
39,39,Emborg,30June2021
40,40,Skowornski,09Jul2021
41,41,Flacco,10June2021
42,42,Sheikh,14June2021
43,43,Stowe,14June2021
44,44,Azamgarhi,17June2021
45,45,Young-Xu,06Oct2021
46,46,Pawlowski,17Jun2021
47,47,Saciuk,30Dec2021
48,48,Baum,18Nov2021
49,49,Nasreen,07Feb2022
50,50,Jara,07Jul2021
51,51,Tenforde,06Aug2021
52,52,Chemaitelly,09Jul2021
53,53,Goldshtein,12Jul2021
54,54,Bertollini,13Jul2021
55,55,John,13Jul2021
56,56,Whitaker,02Jan2022
57,57,Prunas,27Jan2022
58,58,Butt,07Oct2021
59,59,Balicer,07Sept2021
60,60,Layan,03Mar2022
61,61,Butt,20Jul2021
62,62,Lopez Bernal,21Jul2021
63,63,Kim,08Sept2021
64,64,Hitchings,28Oct2021
65,65,Carazo,30Aug2021
66,67,Amirthalingam,10Dec2021
67,68,Gram,17Dec2021
68,69,Alali,29Jul2021
69,70,Lefèvre,31Jul2021
70,71,de Gier,05Aug2021
71,72,Puranik,09Aug2021
72,73,Chemaitelly,09Aug2021
73,74,Tang,02Nov2021
74,75,Nanduri,18Aug2021
75,76,Chin,27Jan2022
76,77,Tenforde,04Nov2021
77,78,Pouwels,14Oct2021
78,79,Prasad,19Aug2021
79,80,Tartof,16Oct2021
80,81,Golberg,27Oct2021
81,82,Chemaitelly ,06Oct2021
82,83,Nunes,23Sept2021
83,84,Katz,10Dec2021
84,85,Giansante,02Sept2021
85,86,Bruxvoort,24Nov2021
86,87,Barlow,03Sept2021
87,88,Tande,06Sept2021
88,89,Iliaki,18Oct2021
89,90,Thompson,08Sept2021
90,91,Dagan,07Sept2021
91,92,Grannis,10Sept2021
92,93,Polinski,17Mar2022
93,94,Bajema,10Sept2021
94,95,Andrews,12Jan2022
95,96,Glatman-Freedman,16Sept2021
96,97,Self,17Sept2021
97,98,Skowronski,27Jan2022
98,99,Pilishvili,22Sept2021
99,100,Meyer,09Sept2021
100,101,Glatman-Freedman,27Sep2021
101,102,Eyre,05Jan2022
102,103,Martinez-Baz,30Sep2021
103,104,Bruxvoort,15Dec2021
104,105,Liu,24May2022
105,106,Ranzani,18Oct2021
106,107,Arregoces,19Oct2021
107,108,Olson,19Oct2021
108,110,Chin,20Oct2021
109,111,Ranzani,09Feb2022
110,112,Nordstrom,04Feb2022
111,113,Lin,10Mar2022
112,114,Skowronski,19Apr2022
113,115,Nordstrom,18Oct2021
114,116,Reis,20Oct2021
115,117,Sheikh,20Oct2021
116,118,Embi,30Dec2021
117,119,Poukka,31Jan2022
118,120,Al Hosani,18Mar2022
119,121,Ng,01Nov2021
120,122,Paixao,05Apr2022
121,123,Desai,23Nov2021
122,124,Thiruvengadam,25Nov2021
123,125,Hall,16Feb2022
124,126,Voko,24Nov2021
125,127,Wu,02Dec2021
126,128,Muhsen,28Oct2021
127,129,Yassi,06Dec2021
128,130,UKHSA,27Jan2022
129,131,Bajema,10Dec2021
130,132,Powell,21Mar2022
131,133,Berec,08Jul2022
132,134,Machado,13Sept2021
133,135,Florea,28Apr2022
134,136,Young-Xu,15Dec2021
135,137,Castillo-Arregoces,16Dec2021
136,138,McLean,18Feb2022
137,139,Abu-Raddad,21Jan2022
138,140,Bekker,19Mar2022
139,141,Tartof,14Feb2022
140,142,Lewis,21Dec2021
141,143,Ioannou,21Dec2021
142,144,Hansen,23Dec2021
143,146,Katikireddi,20Dec2021
144,147,Amir,21Dec2021
145,148,Ostropolets,23Aug2022
146,149,Alali,07Dec2021
147,150,Mendola,23Dec2021
148,151,Collie,29Dec2021
149,152,Lutrick,31Dec2021
150,153,Chung,01Jan2022
151,155,Cerqueira-Silva ,31Mar2022
152,156,Petraš,22Dec2021
153,157,Prunas,09Dec2022
154,158,Zambrano,07Jan2022
155,159,Tseng,21Feb2022
156,160,Chiew,28Sep2022
157,161,Olson,12Jan2022
158,162,Gazit,24Nov2021
159,163,Suah,21Mar2022
160,164,Young-Xu,03Aug2022
161,165,Tartof,22Apr2022
162,166,Tartof,22Apr2022
163,167,Tartof,22Apr2022
164,168,Bedston,21Jan2022
165,169,Botton,24Jan2022
166,170,Spensley,26Jan2022
167,171,Willet,26Jan2022
168,172,Belayachi,07Dec2022
169,173,Tenforde,28Jan2022
170,174,Lytras,14Jun2022
171,175,Roberts,26Jul2022
172,176,Sritipsukho,03Feb2022
173,177,Suryatma,04Feb2022
174,178,Lauring,09Mar2022
175,179,Chemaitelly,02Jun2022
176,180,Cerqueira-Silva,09Feb2022
177,181,Butt,09Feb2022
178,183,Hayek,27Jan2022
179,184,Goldin,08Feb2022
180,185,Ferdinands,11Feb2022
181,186,Jara,20Apr2023
182,187,Halasa,22Jun2022
183,188,Gazit,15Feb2022
184,189,Filon,15Feb2022
185,190,Wu,10Jan2022
186,191,Mallow,09Feb2022
187,192,Shen,23Feb2022
188,193,Cura-Bilbao,02Feb2022
189,194,Smid,15Oct2022
190,195,Klein,01Mar2022
191,196,Wright,25Feb2022
192,197,Perry,03Mar2022
193,198,Oliver,09Mar2022
194,199,Oliveira,03Mar2022
195,200,Ashmawy,24Apr2023
196,201,Fowlkes,11Mar2022
197,202,Shrotri,12Mar2022
198,203,Baum,05Nov2022
199,204,Jara,23May2022
200,205,Rearte,15Mar2022
201,206,Can,19Mar2022
202,207,Altarawneh,15Jun2022
203,208,Kaura,12Mar2022
204,209,Horne,20Jul2022
205,210,Stowe,30Sep2022
206,211,Tenforde,25Mar2022
207,212,Veneti,07Mar2023
208,213,Wang,23Nov2022
209,214,Natarajan,29Mar2022
210,215,Hansen,30Mar2022
211,216,Price,30Mar2022
212,217,Marra,30Mar2022
213,218,Starrfelt,30Mar2022
214,219,Pardo-Seco,29Mar2022
215,220,Nordstrom,31Mar2022
216,221,Ranzani,16Aug2022
217,222,Florentino,08Aug2022
218,223,Yoon,06Apr2022
219,224,Kwon,06Apr2022
220,225,Paraguay Ministry of Health and Social Welfare,22Mar2022
221,226,Buchan,07Apr2022
222,227,Kim,29Jul2022
223,228,Kildegard,11Apr2022
224,229,Institute of Public Health,12Apr2022
225,230,Plumb,12Apr2022
226,231,Dale,12Apr2022
227,232,Cerqueira-Silva,01Jul2022
228,233,Nasreen,17Aug2022
229,234,Richardson,19Jun2022
230,235,Voko,22Jul2022
231,236,Gram,01Sep2022
232,237,Lind,25Apr2022
233,238,Sanchez Ruiz,01Apr2022
