,study ID,first author,study design,publication date,primary series vaccine,historyofCOVID,dose_number,dose,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,country_clean,iso3c,Study_id_f,Country.Code,GNI_per_c_WB,year_GNI,Economy,Region,Income group,q_GNI_per_c_WB,continent,owid_vac_intro,owid_vac_F40,owid_vac_F70,who_vac_intro,min_vac_intro,diff_owid_who_intro,diff_min_vac_intro_8Dec2020,diff_intro_F40,diff_intro_F70,diff_min_vac_intro_8Dec2020_clean,V1_date_group,V1_group,V40_date_group,V40_group,V1_dummy,V40_dummy,V70_dummy,publication_date,outcome_final,semester,clean_vaccine,vac_type,variant_clean,include_population,inclusion_notes,max_follow_up_days,n_estimates,min_period_days,max_period_days,include,justification,sensitivity
1,43,Stowe,Test-negative case-control,14-Jun-21,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization,severe,UK,hospital patients,general pop,96,86,99,delta,delta,~20 weeks,NA,NA,UK,GBR,43,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,14/06/2021,severe,2021 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,140,1,14,140,yes,NA,0
2,49,Nasreen,Test-negative case-control,07-Feb-22,BNT162b2 (Pfizer BioNTech),unknown,2,final,14+,hospitalization or death,severe,Canada,general pop,general pop,98,96,99,delta,delta,~28 weeks,NA,NA,Canada,CAN,49,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,07/02/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,196,1,14,196,yes,NA,0
3,74,Tang,Test-negative case-control,02-Nov-21,BNT162b2 (Pfizer BioNTech),included,2,final,14+,"severe, critical, fatal disease",severe,Qatar,general pop,general pop,94.1,85.9,97.6,delta,delta,~25 weeks,NA,NA,Qatar,QAT,74,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/11/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,175,1,14,175,yes,NA,0
4,80,Tartof,Retrospective cohort,16-Oct-21,BNT162b2 (Pfizer BioNTech),included,2,final,7+,hospitalization,severe,USA,>= 12 years,general pop,93,84,96,delta,delta,~29 weeks,NA,NA,USA,USA,80,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,16/10/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,203,1,7,203,yes,NA,0
5,81,Golberg,Retrospective cohort,27-Oct-21,BNT162b2 (Pfizer BioNTech),excluded,2,final,168-203,severe disease,severe,Israel,40-59 years,40-59 years,98,94,99,NA,delta,28 weeks,NA,NA,Israel,ISR,81,ISR,43800,2019,Israel,Middle East & North Africa,High income,4,Asia,20/12/2020,07/03/2021,NA,16/12/2020,16/12/2020,4,8,81,NA,8,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,27/10/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,196,4,168,203,no,sequential period,0
6,81,Golberg,Retrospective cohort,27-Oct-21,BNT162b2 (Pfizer BioNTech),excluded,2,final,168-203,severe disease,severe,Israel,>= 60 years,>= 60 years,93,86,97,NA,delta,13 weeks,NA,NA,Israel,ISR,81,ISR,43800,2019,Israel,Middle East & North Africa,High income,4,Asia,20/12/2020,07/03/2021,NA,16/12/2020,16/12/2020,4,8,81,NA,8,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,27/10/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,91,4,168,203,no,sequential period,1
7,81,Golberg,Retrospective cohort,27-Oct-21,BNT162b2 (Pfizer BioNTech),excluded,2,final,109-159,severe disease,severe,Israel,40-59 years,40-59 years,92,87,95,NA,delta,22 weeks,NA,NA,Israel,ISR,81,ISR,43800,2019,Israel,Middle East & North Africa,High income,4,Asia,20/12/2020,07/03/2021,NA,16/12/2020,16/12/2020,4,8,81,NA,8,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,27/10/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,154,4,109,159,yes,NA,0
8,81,Golberg,Retrospective cohort,27-Oct-21,BNT162b2 (Pfizer BioNTech),excluded,2,final,109-159,severe disease,severe,Israel,>= 60 years,>= 60 years,85,81,88,NA,delta,22 weeks,NA,NA,Israel,ISR,81,ISR,43800,2019,Israel,Middle East & North Africa,High income,4,Asia,20/12/2020,07/03/2021,NA,16/12/2020,16/12/2020,4,8,81,NA,8,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,27/10/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,154,4,109,159,yes,NA,1
9,92,Grannis,Test-negative case-control,10-Sep-21,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,80,73,85,NA,delta,4 weeks,NA,NA,USA,USA,92,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,10/09/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,28,1,14,28,yes,NA,0
10,95,Andrews,Test-negative case-control,12-Jan-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization,severe,UK,>= 16 years,general pop,96.6,96.2,96.9,delta,delta,~33.5 weeks,NA,NA,UK,GBR,95,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/01/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,234.5,3,14,234.5,yes,NA,0
