"","Study_id_f","first author","publication_date","semester","study design","population_category","historyofCOVID","country_clean","Country.Code","continent","Income group","GNI_per_c_WB","year_GNI","variant_clean","clean_vaccine","vac_type","dose_number","timing_of_dose_days","outcome_final","min_period_days","max_period_days","min_vac_intro","owid_vac_F40","owid_vac_F70","VE","LCL","UCL","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"1",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"alpha","BioNTech/Pfizer BNT162b2","mRNA","1","21+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,83,62,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"alpha","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,95,78,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"alpha","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","21+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,76,61,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"alpha","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,86,53,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","1","21+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,94,46,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"delta","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,96,86,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","1","21+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,71,51,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",43,"Stowe",2021-06-14,"2021 (Jan-Jun)","Test-negative case-control","general pop","included","UK","GBR","Europe","High income",43240,2019,"delta","Oxford/AstraZeneca ChAdOx1-S","Vectored","2","14+","severe",NA,NA,2020-12-21,2021-06-04,2021-12-23,92,75,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","BioNTech/Pfizer BNT162b2","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,63,56,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","BioNTech/Pfizer BNT162b2","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,92,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","BioNTech/Pfizer BNT162b2","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,77,67,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","BioNTech/Pfizer BNT162b2","mRNA","2","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,97,88,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","Moderna mRNA-1273","mRNA","1","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,63,47,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","Moderna mRNA-1273","mRNA","2","14+","symptomatic",NA,NA,2020-12-14,2021-07-09,2021-09-28,98,83,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",49,"Nasreen",2022-02-07,"2022 (Jan-Jun)","Test-negative case-control","general pop","unknown","Canada","CAN","North America","High income",46580,2019,"original","Moderna mRNA-1273","mRNA","1","14+","severe",NA,NA,2020-12-14,2021-07-09,2021-09-28,66,43,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
