"","variant_clean","clean_vaccine","q_GNI_per_c_WB","countries","studies","subgroup","median_min","median_max"
"1","delta","BioNTech/Pfizer BNT162b2",3,4,4,4,"2 (2-2)","15 (12-18)"
"2","delta","BioNTech/Pfizer BNT162b2",4,8,10,11,"2 (2-2)","21 (16-23)"
"3","delta","Moderna mRNA-1273",3,1,1,1,"2 (2-2)","17 (17-17)"
"4","delta","Moderna mRNA-1273",4,6,9,9,"2 (2-2)","24 (21-25)"
"5","delta","Oxford/AstraZeneca ChAdOx1-S",1,1,2,2,"2 (1-2)","18 (15-20)"
"6","delta","Oxford/AstraZeneca ChAdOx1-S",3,4,4,4,"2 (2-6)","15 (13-18)"
"7","delta","Oxford/AstraZeneca ChAdOx1-S",4,4,6,6,"2 (2-2)","20 (8-21)"
"8","omicron","BioNTech/Pfizer BNT162b2",3,3,4,4,"2 (2-2)","10 (7-14)"
"9","omicron","BioNTech/Pfizer BNT162b2",4,6,8,11,"2 (2-2)","24 (11-25)"
"10","omicron","Moderna mRNA-1273",3,2,2,2,"2 (2-2)","18 (14-21)"
"11","omicron","Moderna mRNA-1273",4,2,2,2,"3 (3-4)","19 (16-22)"
"12","omicron","Oxford/AstraZeneca ChAdOx1-S",3,1,1,1,"2 (2-2)","8 (8-8)"
"13","omicron","Oxford/AstraZeneca ChAdOx1-S",4,2,3,4,"5 (2-10)","25 (24-25)"
